,Title,Link,cor_A,inst,Author,vol_num,paper_type,Journal,Date,,scopus,wos,kci,sum
362,0,0,0,0,0,0,0,0,0,,0,0,0,0
363,0,0,0,0,0,0,0,0,0,,0,0,0,0
364,0,0,0,0,0,0,0,0,0,,0,1,0,1
365,0,0,0,0,0,0,0,0,0,,0,0,0,0
366,0,0,0,0,0,0,0,0,0,,0,1,0,1
367,0,0,0,0,0,0,0,0,0,,0,0,0,0
368,0,0,0,0,0,0,0,0,0,,0,0,0,0
369,0,0,0,0,0,0,0,0,0,,0,0,0,0
370,0,0,0,0,0,0,0,0,0,,0,0,0,0
371,Enhancement of open circuit voltage for CuSCN-based perovskite solar cells by controlling the perovskite/CuSCN interface with functional molecules,0,Kim J.,Royal Society of Chemistry,"Yang In-seok, Lee Soomin, Choi Juseob, Jung Mintai, Kim Jeongho, Lee Wanin",6028-6037,Article,Journal of Materials Chemistry A,2019,,1,1,0,1
372,"Novel ZnFe2O4/WO3, a highly efficient visible-light photocatalytic system operated by a Z-scheme mechanism",0,Lee W.I.,Elsevier B.V.,"Rawal Sher Bahadur, Kang Hyejin, Won Dong-il, Lee Wanin",117856,Article,Applied Catalysis B: Environmental,05-Nov-19,,1,1,0,1
373,Design of visible-light photocatalysts by coupling of inorganic semiconductors,0,Lee W.I.,Elsevier B.V.,"Bera Sandipan, Won Dong-il, Rawal Sher Bahadur, Kang Hyejin, Lee Wanin",03월 19일,Article,Catalysis Today,01-Sep-19,,1,1,0,1
374,Influence of the distribution of nanoparticles on the NO2 sensing properties of SnO2 nanorods decorated with CaO and Pt,0,Lee C.,Elsevier Ltd,"Nam Bumhee, Lee Wooseok, Ko Taegyung Kyoung, Lee Chongmu, Hyun Soongkeun, Choi Seung-bok, Lee Wanin",649-659,Article,Journal of Alloys and Compounds,25-Sep-19,,1,1,0,1
375,0,0,0,0,0,0,0,0,0,,0,1,0,1
376,"Effects of Yininemertes pratensis on Glass Eels from the Han River, Korea",0,Shin H.S.,Korean Society for Biotechnology and Bioengineering,"Jang Jin-young, Jung Sang-myung, Kim Dong-woo, Lee Seon Sik, Ahn Hyung-jin, Shin Hwasung, Han Kyungnam",675-679,Article,Biotechnology and Bioprocess Engineering,01-Aug-19,,1,1,1,1
377,0,0,0,0,0,0,0,0,0,,0,0,1,1
378,0,0,0,0,0,0,0,0,0,,0,0,1,1
379,0,0,0,0,0,0,0,0,0,,0,0,1,1
380,0,0,0,0,0,0,0,0,0,,0,0,1,1
381,Temporal Patterns and Influential Factors of Blood Glucose Levels During the First 10-Day Critical Period After Brain Injury,0,Seo W.,SAGE Publications Inc.,"Oh Hyunsoo, Lee Kangim, Shin Seon-young, Seo Whasook",744-761,Article,Clinical Nursing Research,01-Jul-19,,1,1,0,1
382,Comparisons of the Incidence and Critical Risk Factors of Metabolic Syndrome in Patients with a Rheumatic Disease or Gout,0,Copyright 2019 Elsevier B.V. All rights reserved.,Lippincott Williams and Wilkins,"Oh Hyunsoo, Park Jisuk, Yoon Youngsub, Seo Whasook",201-208,Article,Orthopaedic Nursing,01-May-19,,1,1,0,1
383,Comparisons of the stages and psychosocial factors of smoking cessation and coping strategies for smoking cessation in college student smokers: Conventional cigarette smokers compared to dual smokers of conventional and e-cigarettes,0,Seo W.,Blackwell Publishing Asia,"Oh Hyunsoo, Im Bo Ae, Seo Whasook",345-354,Article,Japan Journal of Nursing Science,01-Oct-19,,1,1,0,1
384,Correlates of cognitive impairment in patients with chronic kidney failure on haemodialysis: Systematic review and meta-analysis,0,Seo W.,Blackwell Publishing Ltd,"Oh Hyunsoo, Mo Jin A., Seo Whasook",962-978,Review,Journal of Advanced Nursing,May-19,,1,1,0,1
385,Identification of symptom clusters and their synergistic effects on quality of life in rheumatoid arthritis patients,0,Seo W.,Wiley-Blackwell,"Oh Hyunsoo, Park Jisuk, Seo Whasook",e12713,Article,International Journal of Nursing Practice,Apr-19,,1,1,0,1
386,Construct validity and reliability of the Full Outline of UnResponsiveness (FOUR) score in spontaneous subarachnoid haemorrhage caused by aneurysm rupture,0,Copyright 2019 Elsevier B.V. All rights reserved.,Blackwell Publishing Ltd,"Oh Hyunsoo, Shin Seon-young, Kim Soohyun, Seo Whasook",3776-3785,Article,Journal of Clinical Nursing,01-Nov-19,,1,1,0,1
387,0,0,0,0,0,0,0,0,0,,0,0,1,1
388,"Effectiveness of a drinking-reduction program on drinking behavior, stages of change, drinking refusal self-efficacy, and resilience in Koreans with moderate alcohol use disorder",0,Lee M.,W.B. Saunders,"Lee Insuk, Lee Mihyoung, Kim Hee-kyung, Lee Eun-jin",189-195,Article,Archives of Psychiatric Nursing,Apr-19,,1,1,0,1
389,0,0,0,0,0,0,0,0,0,,0,0,1,1
390,0,0,0,0,0,0,0,0,0,,0,0,1,1
391,Adhesion properties of poly(ethylene oxide)-lignin blend for nanocellulose composites,0,Kim J.,Elsevier Ltd,"Jayaramudu Tippabattini, Ko Hyun U., Kim Hyun Chan, Kim Jung-woong, Choi Eun-sik, Kim Jaehwan",43-50,Article,Composites Part B: Engineering,01-Jan-19,,1,1,0,1
392,Effect of Wet Spinning and Stretching to Enhance Mechanical Properties of Cellulose Nanofiber Filament,0,Kim J.,Korean Society for Precision Engineering,"Kim Hyun Chan, Kim Debora, Lee Jiyun, Zhai Lingdong, Kim Jaehwan",567-575,Article,International Journal of Precision Engineering and Manufacturing - Green Technology,01-Jul-19,,1,1,1,1
393,Strong and tough long cellulose fibers made by aligning cellulose nanofibers under magnetic and electric fields,0,Kim J.,Springer Netherlands,"Kim Hyun Chan, Kim Jung-woong, Zhai Lingdong, Kim Jaehwan",5821-5829,Article,Cellulose,15-Jul-19,,1,1,0,1
394,Cross-linking of cellulose nanofiber films with glutaraldehyde for improved mechanical properties,0,Kim J.,Elsevier B.V.,"Jeon Jei-gyeong, Kim Hyun Chan, Palem Ramasubba Reddy, Kim Jaehwan, Kang Tae-june",99-102,Article,Materials Letters,01-Sep-19,,1,1,0,1
395,Fabrication and electrical properties of regenerated cellulose-loaded exfoliated graphene nanoplatelet composites,0,Gnidakouong J.R.N.,Springer,"Gnidakouong Joel Renaud Ngouanom, Gao Xiaoyuan, Kafy Abdullahil, Kim Jaehwan, Kim Joo-hyung",115-122,Article,Carbon Letters,Apr-19,,1,1,1,1
396,"Swelling behavior of polyacrylamide-cellulose nanocrystal hydrogels: Swelling kinetics, temperature, and pH effects",0,Kim J.,MDPI AG,"Jayaramudu Tippabattini, Ko Hyun U., Kim Hyun Chan, Kim Jung-woong, Kim Jaehwan",2080,Article,MaterialsOpen Access,01-Jul-19,,1,1,0,1
397,Green nanocomposites made with polyvinyl alcohol and cellulose nanofibers isolated from recycled paper,0,Kim J.,Tech Science Press,"Hai Levan, Zhai Lingdong, Kim Hyun Chan, Kim Jung-woong, Kim Jaehwan",621-629,Article,Journal of Renewable Materials,2019,,1,1,0,1
398,Synergistic effect of polydopamine-polyethylenimine copolymer coating on graphene oxide for EVA nanocomposites and high-performance triboelectric nanogenerators,0,Roy S.,Royal Society of Chemistry,"Roy Sunanda, Hai Levan, Kim Jaehwan",2444-2453,Article,Nanoscale Advances,2019,,1,1,0,1
399,Review of Soft Actuator Materials,0,Kim J.,SpringerOpen,"Kim Jaehwan, Kim Jung-woong, Kim Hyun Chan, Zhai Lingdong, Ko Hyun U., Muthoka Ruth Mwongeli",2221-2241,Review,International Journal of Precision Engineering and Manufacturing,01-Dec-19,,1,1,1,1
400,0,0,0,0,0,0,0,0,0,,0,0,0,0
401,Preliminary operational aspects of microwave-powered airship drone,0,Kim J.,SAGE Publications Inc.,"Song Kyo D., Kim Jaehwan, Kim Jung-woong, Park Yeonjoon, Ely Jay J., Kim Hyun J., Choi Sang H.",2019,Article,International Journal of Micro Air VehiclesOpen Access,Volume 11,,1,1,0,1
402,A G-fresnel optical device and image processing based miniature spectrometer for mechanoluminescence sensor applications,0,Kim G.-W.,MDPI AG,"Min Kyung-pyo, Kim Jaehwan, Song Kyo D., Kim Giwoo",3528,Article,Sensors (Switzerland)Open Access,02-Aug-19,,1,1,0,1
403,0,0,0,0,0,0,0,0,0,,0,0,1,1
404,0,0,0,0,0,0,0,0,0,,0,0,1,1
405,0,0,0,0,0,0,0,0,0,,0,0,1,1
406,0,0,0,0,0,0,0,0,0,,0,0,1,1
407,0,0,0,0,0,0,0,0,0,,0,0,1,1
408,0,0,0,0,0,0,0,0,0,,0,0,1,1
409,0,0,0,0,0,0,0,0,0,,0,0,1,1
410,0,0,0,0,0,0,0,0,0,,0,0,1,1
411,0,0,0,0,0,0,0,0,0,,0,0,1,1
412,Maternal Intrapartum Antibiotic Administration and Infantile Colic: Is there a Connection?,0,Copyright 2018 Elsevier B.V. All rights reserved.,S. Karger AG,"Leppälehto Elli, Pärtty Anna, Kalliomäki Marko A., Löyttyniemi Eliisa Susanna, Isolauri Erika, Rautava Samuli",226-229,Article,Neonatology,01-Sep-18,,1,0,1,1
413,Clinical impact of admission hypothermia in very low birth weight infants: Results from Korean neonatal network,0,Lee J.,Korean Pediatric Society,"Lee Na-hyun, Nam Soo-kyung, Lee Juyoung, Jun Yonghoon",386-394,Article,Korean Journal of PediatricsOpen Access,Oct-19,,1,0,0,1
414,Neural feedback is insufficient in preterm infants during neurally adjusted ventilatory assist,0,Lee J.,John Wiley and Sons Inc.,"Nam Soo-kyung, Lee Juyoung, Jun Yonghoon",1277-1283,Article,Pediatric Pulmonology,Aug-19,,1,1,0,1
415,0,0,0,0,0,0,0,0,0,,0,0,1,1
416,"Case of both rivaroxaban- and dabigatran-induced leukocytoclastic vasculitis, during management of pulmonary thromboembolism",0,Lee H.L.,W.B. Saunders Ltd,"Lee Hong-lyeol, Kim Lucia, Kim Cheol-woo, Kim Jung-soo, Nam Haesung Seong, Ryu Jeong-seon",219-222,Article,Respiratory Medicine Case ReportsOpen Access,01-Jan-19,,1,1,0,1
417,Korean guidelines for diagnosis and management of interstitial lung diseases: Part 2. Idiopathic pulmonary fibrosis,0,Park M.S.,Korean National Tuberculosis Association,"Lee Sang-hoon, Yeo Yoomi, Kim Tae-hyung, Lee Hong-lyeol, Lee Jin-hwa, Park Yong-bum, Park Jong-sun, Kim Yeehyung, Song Jin-woo, Jhun Byung-woo, Kim Hyun-jung, Park Jinkyeong, Uh Sootaek, Kim Young-whan, Kim Dong-soon, Park Moo-suk",102-117,Review,Tuberculosis and Respiratory DiseasesOpen Access,2019,,1,1,1,1
418,Korean guidelines for diagnosis and management of interstitial lung diseases: Part 1. Introduction,0,Chung M.P.,Korean National Tuberculosis Association,"Park Sungwoo, Baek Ae-rin, Lee Hong-lyeol, Jeong Sung-whan, Yang Sei-hoon, Kim Yong-hyun, Chung Man-pyo",269-276,Article,Tuberculosis and Respiratory DiseasesOpen Access,2019,,1,1,1,1
419,Clinical features and prognosis of patients with idiopathic pulmonary fibrosis and chronic obstructive pulmonary disease,0,Park M.S.,International Union against Tubercul. and Lung Dis.,"Lee Sang-hoon, Park Jong-sun, Kim Song-yee, Kim Dong-soon, Kim Youngwhan, Chung Man-pyo, Uh Sootaek, Park Choon-sik, Park Sungwoo, Jeong Seong-hwan, Park Yong-bum, Lee Hong-lyeol, Shin Jong-wook, Lee Jin-hwa, Jegal Yangjin, Lee Hyun-kyung, Kim Y. H., Song Jin-woo, Park Moo-suk",678-684,Article,International Journal of Tuberculosis and Lung Disease,01-Jun-19,,1,1,0,1
420,Efficacy and safety of switching from rituximab to biosimilar CT-P10 in rheumatoid arthritis: 72-week data from a randomized Phase 3 trial,0,Yoo D.H.,Oxford University Press,"Shim Seung Cheol, Božić-Majstorović Ljubinka, Berrocal Kasay Alfredo, el-Khouri Elias Chalouhi, Irazoque-Palazuelos Fedra Consuelo, Cons-Molina Fidencio Fidenci, Medina-Rodriguez Francisco G., Miranda Pedro C., Shesternya Pavel A., Chávez-Corrales José E., Wiland Piotr, Jeka Sławomir, Garmish Olena, Hrycaj Paweł Z., Fomina Natalia, Park Won, Suh Chang Hee, Lee Sang-joon, Lee Sung-young, Bae Yunju, Yoo Daehyun",2193-2202,Article,Rheumatology (United Kingdom),01-Dec-19,,1,1,0,1
421,Efficacy and safety of tocilizumab in Korean patients with active rheumatoid arthritis,0,Song Y.-W.,Korean Association of Internal Medicine,"Baek Han-joo, Lim Mie-jin, Park Won, Park Sung-hwan, Shim Seung Cheol, Yoo Daehyun, Kim Hyun-ah, Lee Soo-kon, Lee Yung-jong, Park Young-eun, Cha Hoon-suk, Song Yeong-wook",917-931,Article,Korean Journal of Internal Medicine,2019,,1,1,1,1
422,Long-Term Efficacy and Safety of Biosimilar CT-P10 Versus Innovator Rituximab in Rheumatoid Arthritis: 48-Week Results from a Randomized Phase III Trial,0,Yoo D.H.,Springer International Publishing,"Suh Chang Hee, Yoo Daehyun, Berrocal Kasay Alfredo, Chalouhi El-Khouri Elia, Cons-Molina Fidencio Fidenci, Shesternya Pavel A., Miranda Pedro C., Medina-Rodriguez Francisco G., Wiland Piotr, Jeka Sławomir, Chávez-Corrales José E., Linde Thomas, Hrycaj Paweł Z., Abello-Banfi Mauricio, Hospodarskyy Ihor, Jaworski Janusz, Piotrowski Mariusz, Brzosko Marek, Krogulec Marek, Shevchuk S. V., Calvo Armando, Andersone Daina, Park Won, Shim Seung Cheol, Lee Sang-joon, Lee Sung-young",79-91,Article,BioDrugs,01-Feb-19,,1,1,0,1
423,Extensive digital contractures caused by gout,0,Jung K.-H.,Turkish League Against Rheumatism (TLAR),"Lee Seung-yun, Park Won, Kwon Seongryul, Kim Yeoju, Lim Mie-jin, Jo Minjae, Jung Kyong-hee",119-121,Letter,Archives of RheumatologyOpen Access,Mar-19,,1,1,0,1
424,"A 5-year Retrospective Analysis of Drug Survival, Safety, and Effectiveness of the Infliximab Biosimilar CT-P13 in Patients with Rheumatoid Arthritis and Ankylosing Spondylitis",0,Yoo D.H.,Adis,"Kim Tae-hwan, Lee Shin-seok, Park Won, Song Yeong-wook, Suh Chang Hee, Kim Soo-kyoung, Lee Young-nam, Yoo Dae-hyun",541-553,Article,Clinical Drug Investigation,01-Jun-20,,1,1,0,1
425,0,0,0,0,0,0,0,0,0,,0,1,0,1
426,0,0,0,0,0,0,0,0,0,,0,1,0,1
427,Association of serum uric acid with cardiovascular disease risk scores in Koreans,0,Jung K.-H.,MDPI AG,"Lee Seung-yun, Park Won, Suh Young-ju, Lim Mie-jin, Kwon Seongryul, Lee Joo-hyun, Joo Young-bin, Oh Youn-kyung, Jung Kyong-hee",4632,Article,International Journal of Environmental Research and Public HealthOpen Access,01-Dec-19,,1,1,0,1
428,0,0,0,0,0,0,0,0,0,,0,1,0,1
429,Dramatic unilateral decrease in uptake via the dopamine transporter: Imaging in a patient with hemiparkinsonism following the lacunar stroke in substantia nigra,0,Yoon B.-N.,ASEAN Neurological Association,"Ahn Jong-hyeon, Yang Huijun, Kim Eunyoung, Park Jeong-jin, Yoon Byung-nam",75-78,Article,Neurology Asia,Mar-19,,1,1,0,1
430,A multi-institutional and case-matched control study on treatment outcomes of consolidative radiotherapy after a full course of R-CHOP compared with R-CHOP alone in Stage I-II diffuse large B-cell lymphoma (KROG 17-02),0,Lee J.H.,Oxford University Press,"['Chung Mijoo', 'Cho Wonkyung', 'Oh Dongryul']",677-684,Article,Journal of Radiation ResearchOpen Access,23-Oct-19,,1,1,0,1
431,"Cancer statistics in Korea: Incidence, mortality, survival, and prevalence in 2016",0,Won Y.-J.,Korean Cancer Association,"Jung Kyu-won, Won Young-joo, Kong Hyun-joo, Lee Eunsook, Kim Changhoon, Yoo Cheolin, Kim Yongdae, Nam H. S., Huh Jung-sik, Youm Jung-ho, Lim Kyu-hyoung, Hong Namsoo, Kweon Sunseong, Kim Woochul, Park Kisoo",417-430,Article,Cancer Research and TreatmentOpen Access,2019,,1,1,0,1
432,Early toxicity of moderate hypofractionated volumetric modulated Arc radiotherapy for localized prostate cancer,0,Kim H.J.,Novin Medical Radiation Institute,"Kim Hunjung, Lee Jeongshim, Kim W. Ch",293-300,Article,International Journal of Radiation ResearchOpen Access,2019,,1,1,0,1
433,A novel immunomodulatory mechanism dependent on acetylcholine secreted by human bone marrow-derived mesenchymal stem cells,0,Song S.U.,Sungkyunkwan University,"Yi TacGhee, Cho Yun-kyoung, Lee Hyunjoo, Kim Junghee, Jeon Myungshin, Ham Dong-sik, Kim Woo-cheol, Song Sun-uk",315-330,Article,International Journal of Stem Cells,2019,,1,1,0,1
434,Detailed evaluation of Mobius3D dose calculation accuracy for volumetric-modulated arc therapy,0,Kim J.S.,Associazione Italiana di Fisica Medica,"Kim Jihun, Han Mincheol, Lee Eungman, Park Kwangwoo, Chang Kyunghwan, Kim Dong-wook, Kim Jinsung, Hong Chae-seon",125-132,Article,Physica Medica,Jun-20,,1,0,1,1
435,Association of circulating irisin concentrations with weight loss after roux-en-Y gastric bypass surgery,0,Shin D.W.,MDPI AG,"Lee Yeon-ji, Heo Yoonseok, Choi Jiho, Park Sunghyouk, Kim Kyoungkon, Shin Dong-wun, Kang Ju-hee",660,Article,International Journal of Environmental Research and Public HealthOpen Access,02-Feb-19,,1,1,0,1
436,"The association between low Vitamin D status and autoimmune thyroid disease in Korean premenopausal women: The 6th Korea national health and nutrition examination survey, 2013-2014",0,Lee Y.J.,Korean Journal of Family Medicine,"Kim Choon-young, Lee Yeon-ji, Choi Jiho, Lee Soo-yeon, Lee Hye-young, Jeong Da-hye, Choi Yeon-jun",323-328,Article,Korean Journal of Family MedicineOpen Access,01-Sep-19,,1,0,1,1
437,0,0,0,0,0,0,0,0,0,,0,0,1,1
438,0,0,0,0,0,0,0,0,0,,0,0,1,1
439,The Impact of Comorbidity Burden on The Association between Vascular Access Type and Clinical Outcomes among Elderly Patients Undergoing Hemodialysis,0,Lee S.W.,Nature Research,"Jhee Jong-hyun, Hwang Seundeuk, Song Joon-ho, Lee Seoungwoo",18156,Article,Scientific ReportsOpen Access,01-Dec-19,,1,1,0,1
440,Impact of body mass index on survival in patients undergoing peritoneal dialysis: Analysis of data from the Insan Memorial End-Stage Renal Disease Registry of Korea (1985–2014),0,Lee S.W.,The Korean Society of Nephrology,"Hwang Seundeuk, Lee Jin-ho, Jhee Jong-hyun, Song Joon-ho, Kim Joong-kyung, Lee Seoungwoo",239-249,Article,Kidney Research and Clinical PracticeOpen Access,2019,,1,0,1,1
441,0,0,0,0,0,0,0,0,0,,0,1,0,1
442,Effect of Fluvastatin on Cardiovascular Complications in Kidney Transplant Patients: A Systemic Review and Meta-analysis,0,Song J.H.,Elsevier USA,"Hwang Seundeuk, Lee Jin-ho, Jhee Jong-hyun, Kim Yoon-ji, Park K. M., Kim Joong-kyung, Lee Seoungwoo, Song Joon-ho",2710-2713,Article,Transplantation Proceedings,Oct-19,,1,1,0,1
443,0,0,0,0,0,0,0,0,0,,0,0,0,0
444,0,0,0,0,0,0,0,0,0,,0,0,0,0
445,0,0,0,0,0,0,0,0,0,,0,0,0,0
446,"The prevalence of low plasma neutrophil gelatinase-associated lipocalin level in systemic inflammation and its relationship with proinflammatory cytokines, procalcitonin, nutritional status, and leukocyte profiles",0,Choi J.W.,Verlag Klinisches Labor GmbH,"Choi Jong-weon, Fujii Tatsuyoshi",2019,Article,Clinical Laboratory,Issue 6,,1,1,0,1
447,"Relationship between neutrophil gelatinase-associated lipocalin, cardiac biomarkers, inflammation index and renal parameters in cardiovascular disease",0,Choi J.W.,Institut za Bioloska Istrazivanja,"Choi Jong-weon, Lee Moon-hee, Fujii Tatsuyoshi",044C,Article,Archives of Biological SciencesOpen Access,2019,,1,1,0,1
448,Ultrasonographic evaluation of intima-media thickness - More commonly used marker in cardiovascular diagnosis,0,Litwin M.,0,"Trelewicz Justyna, Litwin Mieczysław, Sebigulli Augustin, Grenda Ryszard",835-841,Review,Pediatria Polska,2003,,1,0,0,1
449,Actinomycotic osteomyelitis of a long bone in an immunocompetent adult: A case report and literature review,0,Kim M.K.,BioMed Central Ltd.,"Ryu Dongjin, Jeon Yoon-sang, Kwon Heayoon, Choi Suk-jin, Roh Tae-hoon, Kim Myung-ku",185,Article,BMC Musculoskeletal DisordersOpen Access,01-May-19,,1,1,0,1
450,The proper correction of the mechanical axis in high tibial osteotomy with concomitant cartilage procedures - A retrospective comparative study,0,Park J.H.,BioMed Central Ltd.,"Kim Myung-ku, Ko Bong Sung, Park Joo-hyun",281,Article,Journal of Orthopaedic Surgery and ResearchOpen Access,28-Aug-19,,1,1,0,1
451,Relation of blood pressure variability to left ventricular function and arterial stiffness in hypertensive patients,0,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Shin Sung-hee, Jang Ji-hoon, Baek Yong-soo, Kwon Sungwoo, Park Sang-don, Woo Seong-ill, Kim Daehyeok, Kwan Jun",427-431,Article,Singapore medical journal,01-Aug-19,,1,1,0,1
452,Relationship between arterial stiffness and circadian pattern of blood pressure,0,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Park Jin-sun, Shin Joon-han, Park Jeong-bae, Choi Dong-ju, Youn Ho-joong, Park Chang-gyu, Kwan Jun, Ahn Youngkeun, Kim Dong-woon, Rim Sejoong, Park Seung-woo, Sung Jidong, Bae Jang-ho",e14953,Article,MedicineOpen Access,01-Mar-19,,1,0,0,1
453,Early adjacent vertebral fractures after balloon kyphoplasty for osteoporotic vertebral compression fractures,0,Cho K.-J.,Korean Society of Spine Surgery,"Ko Bong-seong, Cho Kyujung, Park Jae-woo",210-215,Article,Asian Spine JournalOpen Access,2019,,1,0,1,1
454,Risk factors for recurrent lumbar disc herniation after discectomy,0,Cho K.-J.,Springer Verlag,"Shin Eun-ho, Cho Kyujung, Kim Young-tae, Park Myunghoon",963-967,Article,International Orthopaedics,04-Apr-19,,1,0,1,1
455,0,0,0,0,0,0,0,0,0,,0,1,0,1
456,Balloons larger than 15 mm can increase the risk of adverse events following endoscopic papillary large balloon dilation,0,Kim J.H.,Blackwell Publishing,"Lee Gil-ho, Yang Min-jae, Kim Jinhong, Hwang Jaechul, Yoo Byoung-moo, Lee Dongki, Jang Sung-ill, Lee Tae-hoon, Park Sangheum, Park Jin-seok, Jeong Seok, Lee Donhaeng",1450-1453,Article,Journal of Gastroenterology and Hepatology (Australia),2019,,1,1,0,1
457,0,0,0,0,0,0,0,0,0,,0,1,0,1
458,Papillary dilation for bile duct stones: Start big but proceed with caution(Editorial),0,Buxbaum J.,Georg Thieme Verlag,Buxbaum James Leonard,113-114,Editorial,Endoscopy,2019,,1,1,0,1
459,A novel high-visibility radiopaque tantalum marker for biliary self-expandable metal stents,0,Lee D.H.,Editorial Office of Gut and Liver,"Park Jin-seok, Yim Kang Hyuck, Jeong Seok, Lee Donhaeng, Kim Dong-gon",366-372,Article,Gut and LiverOpen Access,2019,,1,1,1,1
460,0,0,0,0,0,0,0,0,0,,0,1,0,1
461,Tumor-Specific Aptamer-Conjugated Polymeric Photosensitizer for Effective Endo-Laparoscopic Photodynamic Therapy,0,Na K.,Wiley-VCH Verlag,"Kim Jiyoung, Park Wooram, Kim Dahye, Lee Eun-seong, Lee Donhaeng, Jeong Seok, Park Jaemyung, Na Kun",1900084,Article,Advanced Functional Materials,06-Jun-19,,1,1,0,1
462,0,0,0,0,0,0,0,0,0,,0,1,0,1
463,Direct cholangioscopy with argon plasma coagulation of an intraductal papillary mucinous neoplasm of the bile duct(Note),0,Park J.-S.,Korean Association of Internal Medicine,"Cha Boram, Park Jin-seok, Jeong Seok, Lee Don-haeng, Kim Joon-mee",940-941,Note,Korean Journal of Internal Medicine,2019,,1,1,1,1
464,Development of an acute pancreatitis porcine model based on endoscopic retrograde infusion of contrast medium or sodium taurocholate,0,Jeong S.,Korean Association of Internal Medicine,"Park Jin-seok, Jeong Seok, Kim Joon-mee, Lee Bum Hei, Kim Jae-min, Lee Donhaeng",1244-1251,Article,Korean Journal of Internal Medicine,Nov-19,,1,1,1,1
465,Efficacy of a novel hemostatic adhesive powder in patients with refractory upper gastrointestinal bleeding: A pilot study,0,Lee D.H.,Georg Thieme Verlag,"Park Jin-seok, Bang Byoungwook, Hong Su-jin, Lee Eunhye, Kwon Kyesook, Kim Hyungkil, Shin Youngwoon, Lee Donhaeng",458-462,Article,Endoscopy,2019,,1,0,0,1
466,The safety of newly developed automatic temperature-controlled endobiliary radiofrequency ablation system for malignant biliary strictures: A prospective multicenter study,0,Jeong S.,Blackwell Publishing,"Lee Yun-nah, Jeong Seok, Choi Hyunjong, Cho Jae Hee, Cheon Youngkoog, Park Sewoo, Kim Yeonsuk, Lee Donhaeng, Moon Jong Ho",1454-1459,Article,Journal of Gastroenterology and Hepatology (Australia),2019,,1,1,0,1
467,Safety evaluation of paclitaxel-eluting biliary metal stent with sodium caprate in porcine biliary tract,0,Yang S.,Editorial Office of Gut and Liver,"Jang Sung-ill, Jeong Seok, Lee Donhaeng, Na Kun, Yang Sugeun, Lee Dongki",471-478,Article,Gut and LiverOpen Access,2019,,1,1,1,1
468,Efficacy of a paclitaxel-eluting biliary metal stent with sodium caprate in malignant biliary obstruction: A prospective randomized comparative study,0,Lee D.K.,Georg Thieme Verlag,"Jang Sung-ill, Lee Kyutaek, Choi Jungsik, Jeong Seok, Lee Donhaeng, Kim Yong-Tae, Lee Sang Hyub, Yu Jeong-sik, Lee Dongki",843-851,Article,Endoscopy,2019,,1,1,0,1
469,"Characteristics, trend, and methodological quality of systematic reviews and meta-analyses in nuclear medicine: A bibliometric analysis of studies published between 2005 and 2016",0,This record is sourced from MEDLINE/PubMed a database of the U.S. National Library of Medicine,NLM (Medline),"Hong Jung Ui, Kim Jun-ho, Lee Kyung-hee, Lee Minkyung, Hyun In-young, Cho Soon-gu, Kim Yeoju, Lee Hayoung, Kim Ga-ram",e15785,Article,MedicineOpen Access,01-May-19,,1,1,0,1
470,Age dependency of mGluR5 availability in 5xFAD mice measured by PET,0,Choi J.Y.,Elsevier Inc.,"Lee Minkyung, Lee Hae-june, Jeong Ye-ji, Oh Se-jong, Kang Kyung-jun, Han Sangjin, Nam Kyungrok, Lee Yongjin, Lee Kyochul, Ryu Young-hoon, Hyun In-young, Choi Jae-yong",208-216,Article,Neurobiology of Aging,Dec-19,,1,1,0,1
471,0,0,0,0,0,0,0,0,0,,0,0,0,0
472,0,0,0,0,0,0,0,0,0,,0,0,0,0
473,0,0,0,0,0,0,0,0,0,,0,0,0,0
474,Fabrication of spherical CNT skeins formed by self-entangled fibers from hollow type mesoporous silica microcapsules,0,Kim G.-J.,Korean Society of Industrial Engineering Chemistry,"Woo Park Geun, Yoo Jaebin, Kim Geonjoong",457-466,Article,Journal of Industrial and Engineering Chemistry,25-Aug-19,,1,1,1,1
475,Development of NOx removal process for LNG evaporation system: Comparative assessment between response surface methodology (RSM) and artificial neural network (ANN),0,Hwang S.,Korean Society of Industrial Engineering Chemistry,"Kim Ziehyun, Shin Yeonju, Yu Jihye, Kim Geonjoong, Hwang Sungwon",136-147,Article,Journal of Industrial and Engineering Chemistry,25-Jun-19,,1,1,1,1
476,Development of NOx reduction system utilizing artificial neural network (ANN) and genetic algorithm (GA),0,Hwang S.,Elsevier Ltd,"Shin Yeonju, Kim Ziehyun, Yu Jihye, Kim Geonjung, Hwang Sungwon",1418-1429,Article,Journal of Cleaner Production,20-Sep-19,,1,1,0,1
477,0,0,0,0,0,0,0,0,0,,0,0,1,1
478,0,0,0,0,0,0,0,0,0,,0,0,1,1
479,Temperature-dependent green biosynthesis and characterization of silver nanoparticles using balloon flower plants and their antibacterial potential,0,Anbu P.,Elsevier B.V.,"Anbu Periasamy, Gopinath S., Yun Hyun-shik, Lee Choul-Gyun",302-309,Article,Journal of Molecular Structure,05-Feb-19,,1,1,0,1
